AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
DLLS,SA,202308,E,04,05,D,42,0119,3,GS-05,E,XXXX,15,P,2,1,053780,05.4
DLLS,SA,202109,D,13,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,093013,05.3
DLLS,SC,202111,E,17,05,A,17,0119,3,GS-05,E,XXXX,15,P,2,1,050844,00.2
DLLS,SC,202109,D,13,13,D,11,0110,1,GS-13,J,0110,10,F,1,1,103690,05.3
DLLS,SA,202201,C,13,11,B,11,0110,1,GS-11,G,0110,15,F,1,1,074950,02.3
DLLS,SC,202001,J,04,07,C,55,0119,3,GS-07,D,XXXX,10,P,2,1,045119,03.7
DLLS,SC,202006,C,13,12,C,29,0110,1,GS-12,G,0110,10,F,1,1,077845,03.4
DLLS,SA,202103,C,13,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,090106,04.8
DLLS,SC,201911,D,17,05,B,36,0119,3,GS-05,C,XXXX,15,P,2,1,039053,02.1
DLLS,SA,202109,C,13,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,093013,05.2
DLLS,SA,202305,C,13,12,C,48,0110,1,GS-12,I,0110,10,F,1,1,092843,04.2
DLLS,SA,202006,C,17,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,089213,03.8
DLLS,SC,202305,C,17,12,C,11,0110,1,GS-12,I,0110,10,F,1,1,094199,03.8
DLLS,SD,202209,K,04,06,D,34,0119,3,GS-06,E,XXXX,10,P,2,1,051477,05.8
DLLS,SC,202111,H,04,06,C,36,0119,3,GS-06,D,XXXX,10,P,2,1,049965,04.8
DLLS,SC,202209,D,04,05,A,39,0119,3,GS-05,D,XXXX,15,P,2,1,044733,00.6
DLLS,SA,202204,C,13,12,D,25,0110,1,GS-12,I,0110,10,F,1,1,094774,05.2
DLLS,SA,202004,C,04,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,086335,03.3
DLLS,SA,201910,E,17,05,B,17,0119,3,GS-05,D,XXXX,15,P,2,1,046349,01.5
DLLS,SC,202110,C,04,12,C,17,0110,1,GS-12,H,0110,10,F,1,1,088800,04.7
DLLS,SA,202007,D,17,12,C,11,0110,1,GS-12,H,0110,10,F,1,1,089213,03.4
DLLS,SA,202308,H,04,07,D,36,0119,3,GS-07,E,XXXX,10,P,2,1,053503,06.6
DLLS,SC,202105,E,21,05,C,36,0119,3,GS-05,D,XXXX,15,P,2,1,043466,04.0
