AGY,AGYT,AGYSUB,AGYSUBT,SEP,SEPT,EFDATE,AGELVLT,EDLVL,EDLVLT,LOS,OCC,OCCT,OCCFAM,OCCFAMT,PAYPLAN,PAYPLANT,STEMAGGT,STEMTYPT,SUPERVIS,SUPERVIST,TOA,TOAT,WORKSCH,WORKSCHT,COUNT,LOC,STATE,STATET,COUNTRY,COUNTRYT,SALARY,GRD
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202401,65 OR MORE,13,BACHELOR'S DEGREE,45.2,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,42,PA,PENNSYLVANIA,US,UNITED STATES,166036,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202401,55-59,14,POST-BACHELOR'S,31.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,13,GA,GEORGIA,US,UNITED STATES,135209,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202401,65 OR MORE,17,MASTER'S DEGREE,38.2,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,25,MA,MASSACHUSETTS,US,UNITED STATES,170205,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202401,30-34,17,MASTER'S DEGREE,2.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,48,TX,TEXAS,US,UNITED STATES,74961,11
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202401,65 OR MORE,17,MASTER'S DEGREE,28.9,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,39,OH,OHIO,US,UNITED STATES,111460,12
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202401,40-44,13,BACHELOR'S DEGREE,12.9,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,126949,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202401,60-64,13,BACHELOR'S DEGREE,44.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,145617,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202401,35-39,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.9,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,17,IL,ILLINOIS,US,UNITED STATES,41996,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202401,40-44,13,BACHELOR'S DEGREE,11.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,103619,12
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SD,Retirement - Voluntary,202312,65 OR MORE,18,POST-MASTER'S,34.2,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,183500,15
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,65 OR MORE,17,MASTER'S DEGREE,0.5,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,34,NJ,NEW JERSEY,US,UNITED STATES,44057,05
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SL,Other Separation,202311,30-34,13,BACHELOR'S DEGREE,0.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,41,OR,OREGON,US,UNITED STATES,61275,09
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,20-24,09,TWO YEARS COLLEGE,1.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,48,TX,TEXAS,US,UNITED STATES,70827,11
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202311,50-54,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,1.2,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,12,FL,FLORIDA,US,UNITED STATES,38953,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202311,45-49,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,2.1,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,53,WA,WASHINGTON,US,UNITED STATES,46736,06
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202311,65 OR MORE,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,1.3,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,06,CA,CALIFORNIA,US,UNITED STATES,48655,06
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,40-44,17,MASTER'S DEGREE,10.6,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,06,CA,CALIFORNIA,US,UNITED STATES,67407,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,55-59,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,32,NV,NEVADA,US,UNITED STATES,38427,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202311,35-39,17,MASTER'S DEGREE,0.0,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,36,NY,NEW YORK,US,UNITED STATES,44057,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202311,50-54,17,MASTER'S DEGREE,0.1,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,06,CA,CALIFORNIA,US,UNITED STATES,46643,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202310,50-54,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,1.0,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,12,FL,FLORIDA,US,UNITED STATES,37696,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202312,55-59,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,14.4,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,36,NY,NEW YORK,US,UNITED STATES,57296,06
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202312,35-39,17,MASTER'S DEGREE,11.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,27,MN,MINNESOTA,US,UNITED STATES,121104,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202312,60-64,13,BACHELOR'S DEGREE,26.9,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,145617,13
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202312,65 OR MORE,13,BACHELOR'S DEGREE,41.2,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,26,MI,MICHIGAN,US,UNITED STATES,66888,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202312,60-64,18,POST-MASTER'S,39.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,122459,12
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202312,65 OR MORE,17,MASTER'S DEGREE,15.3,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,53,WA,WASHINGTON,US,UNITED STATES,62321,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202312,20-24,13,BACHELOR'S DEGREE,0.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,13,GA,GEORGIA,US,UNITED STATES,49309,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202312,25-29,17,MASTER'S DEGREE,2.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,94199,12
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SA,Transfer Out - Individual Transfer,202311,35-39,13,BACHELOR'S DEGREE,8.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,51,VA,VIRGINIA,US,UNITED STATES,126949,13
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SC,Quit,202310,40-44,17,MASTER'S DEGREE,2.2,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,126949,13
DN,DEPARTMENT OF ENERGY,DN00,DEPARTMENT OF ENERGY,SA,Transfer Out - Individual Transfer,202311,35-39,17,MASTER'S DEGREE,7.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,145604,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202312,30-34,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,1.2,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,44299,05
DL,DEPARTMENT OF LABOR,DLPE,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,SD,Retirement - Voluntary,202312,60-64,17,MASTER'S DEGREE,39.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,172075,14
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SD,Retirement - Voluntary,202312,65 OR MORE,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,10.7,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,12,FL,FLORIDA,US,UNITED STATES,54478,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SJ,Termination (Expired Appt/Other),202312,65 OR MORE,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,29.0,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,49,UT,UTAH,US,UNITED STATES,59147,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SA,Transfer Out - Individual Transfer,202312,20-24,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,64957,09
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202312,20-24,13,BACHELOR'S DEGREE,1.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,29,MO,MISSOURI,US,UNITED STATES,48948,07
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SL,Other Separation,202312,20-24,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.6,0119,ECONOMICS ASSISTANT,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,ALL OTHER OCCUPATIONS,ALL OTHER OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),P,PART-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,42870,05
DL,DEPARTMENT OF LABOR,DLLS,BUREAU OF LABOR STATISTICS,SC,Quit,202312,20-24,13,BACHELOR'S DEGREE,1.6,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,42,PA,PENNSYLVANIA,US,UNITED STATES,62677,09
FC,FEDERAL COMMUNICATIONS COMMISSION,FC00,FEDERAL COMMUNICATIONS COMMISSION,SD,Retirement - Voluntary,202312,65 OR MORE,21,DOCTORATE DEGREE,29.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,183500,15
EP,ENVIRONMENTAL PROTECTION AGENCY,EP00,ENVIRONMENTAL PROTECTION AGENCY,SC,Quit,202401,45-49,22,POST-DOCTORATE,20.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,183500,15
EP,ENVIRONMENTAL PROTECTION AGENCY,EP00,ENVIRONMENTAL PROTECTION AGENCY,SD,Retirement - Voluntary,202312,65 OR MORE,21,DOCTORATE DEGREE,33.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,183500,15
DJ,DEPARTMENT OF JUSTICE,DJ01,"OFFICES, BOARDS AND DIVISIONS",SC,Quit,202312,45-49,21,DOCTORATE DEGREE,20.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,183500,15
SE,SECURITIES AND EXCHANGE COMMISSION,SE00,SECURITIES AND EXCHANGE COMMISSION,SC,Quit,202312,40-44,21,DOCTORATE DEGREE,4.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",SK,NON-SUPERVISORY POSITIONS EMPLOYED BY THE SECURITIES AND EXCHANGE COMMISSION (SEC) AND FORMERLY UNDER GS PAY,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,222178,14
TD,DEPARTMENT OF TRANSPORTATION,TD05,FEDERAL RAILROAD ADMINISTRATION,SA,Transfer Out - Individual Transfer,202403,30-34,17,MASTER'S DEGREE,3.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,121894,13
SB,SMALL BUSINESS ADMINISTRATION,SB00,SMALL BUSINESS ADMINISTRATION,SA,Transfer Out - Individual Transfer,202403,35-39,17,MASTER'S DEGREE,13.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,148689,14
SZ,SOCIAL SECURITY ADMINISTRATION,SZ00,SOCIAL SECURITY ADMINISTRATION,SG,Retirement - Other,202402,50-54,18,POST-MASTER'S,25.6,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,24,MD,MARYLAND,US,UNITED STATES,153354,13
SZ,SOCIAL SECURITY ADMINISTRATION,SZ00,SOCIAL SECURITY ADMINISTRATION,SD,Retirement - Voluntary,202403,60-64,17,MASTER'S DEGREE,34.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,181216,14
