AGY,AGYT,AGYSUB,AGYSUBT,ACC,ACCT,EFDATE,AGELVL,EDLVL,EDLVLT,LOS,OCC,OCCT,OCCFAM,OCCFAMT,PAYPLAN,PAYPLANT,STEMAGGT,STEMTYPT,SUPERVIS,SUPERVIST,TOA,TOAT,WORKSCH,WORKSCHT,COUNT,sensitive_occupation_ind,dod_ind,security_agency_ind,performance_salary_ind,performance_grade_ind,individual_ind,LOC,STATE,STATET,COUNTRY,COUNTRYT,SALARY,GRD
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202310,40-44,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,06,CA,CALIFORNIA,US,UNITED STATES,95905,12
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AD,New Hire - Excepted Service Appointment,202311,30-34,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,53105,07
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202312,55-59,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,06,CA,CALIFORNIA,US,UNITED STATES,175192,14
TR,DEPARTMENT OF TREASURY,TR93,INTERNAL REVENUE SERVICE,AC,New Hire - Competitive Service Appointment,202312,25-29,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,37,NC,NORTH CAROLINA,US,UNITED STATES,133395,13
TR,DEPARTMENT OF TREASURY,TR91,DEPARTMENTAL OFFICES,AC,New Hire - Competitive Service Appointment,202311,50-54,17,MASTER'S DEGREE,21.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,172075,14
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,AD,New Hire - Excepted Service Appointment,202401,35-39,17,MASTER'S DEGREE,5.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
AG,DEPARTMENT OF AGRICULTURE,AG16,NATURAL RESOURCES CONSERVATION SERVICE,AD,New Hire - Excepted Service Appointment,202402,30-34,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,38,OTHER (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,48,TX,TEXAS,US,UNITED STATES,72553,11
AG,DEPARTMENT OF AGRICULTURE,AG16,NATURAL RESOURCES CONSERVATION SERVICE,AD,New Hire - Excepted Service Appointment,202402,20-24,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,31,NE,NEBRASKA,US,UNITED STATES,39576,05
AG,DEPARTMENT OF AGRICULTURE,AG18,ECONOMIC RESEARCH SERVICE,AD,New Hire - Excepted Service Appointment,202402,30-34,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,08,CO,COLORADO,US,UNITED STATES,114970,13
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,AD,New Hire - Excepted Service Appointment,202401,25-29,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,AD,New Hire - Excepted Service Appointment,202401,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
AG,DEPARTMENT OF AGRICULTURE,AG02,AGRICULTURAL MARKETING SERVICE,AC,New Hire - Competitive Service Appointment,202403,25-29,21,DOCTORATE DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,17,IL,ILLINOIS,US,UNITED STATES,80994,11
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,AC,New Hire - Competitive Service Appointment,202402,20-24,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
AG,DEPARTMENT OF AGRICULTURE,AG16,NATURAL RESOURCES CONSERVATION SERVICE,AC,New Hire - Competitive Service Appointment,202401,30-34,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,23,ME,MAINE,US,UNITED STATES,89860,12
AG,DEPARTMENT OF AGRICULTURE,AG30,FOOD AND NUTRITION SERVICE,AC,New Hire - Competitive Service Appointment,202401,40-44,13,BACHELOR'S DEGREE,13.2,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,51,VA,VIRGINIA,US,UNITED STATES,133692,13
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,AD,New Hire - Excepted Service Appointment,202401,25-29,10,ASSOCIATE DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
AG,DEPARTMENT OF AGRICULTURE,AG10,FOREIGN AGRICULTURAL SERVICE,AC,New Hire - Competitive Service Appointment,202401,20-24,04,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,68405,09
TW,SURFACE TRANSPORTATION BOARD,TW00,SURFACE TRANSPORTATION BOARD,AA,Transfer In - Individual Transfer,202402,50-54,21,DOCTORATE DEGREE,11.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ES,SENIOR EXECUTIVE SERVICE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,50,CAREER (SENIOR EXECUTIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,221400,00
IN,DEPARTMENT OF INTERIOR,IN07,BUREAU OF RECLAMATION,AD,New Hire - Excepted Service Appointment,202312,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,08,CO,COLORADO,US,UNITED STATES,63271,09
MC,FEDERAL MARITIME COMMISSION,MC00,FEDERAL MARITIME COMMISSION,AC,New Hire - Competitive Service Appointment,202312,30-34,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,78592,11
